Dystans,Elewacja,D elew/100m,D CzL/100,CzL,Azymut Xwiatr 1m/s,Czolowy,Tylni,Spad.,Wzros.,Spad.,Wzros.
150.00,1556.00,1.00,0.80,27.20,16.30,2.50,-2.40,0.00,0.00,-0.20,0.20
200.00,1541.00,1.00,0.80,27.20,12.30,2.50,-2.40,0.00,0.00,-0.30,0.20
250.00,1527.00,2.00,0.80,27.20,9.90,2.60,-2.40,0.00,0.00,-0.30,0.30
300.00,1512.00,2.00,0.80,27.20,8.30,2.70,-2.40,0.10,0.00,-0.40,0.40
350.00,1497.00,3.00,0.80,27.10,7.10,2.70,-2.50,0.00,-0.10,-0.50,0.40
400.00,1482.00,3.00,0.80,27.10,6.20,2.70,-2.50,0.10,-0.10,-0.50,0.50
450.00,1467.00,3.00,0.80,27.00,5.60,2.80,-2.50,0.10,-0.10,-0.60,0.60
500.00,1451.00,4.00,0.80,27.00,5.00,2.90,-2.60,0.10,-0.10,-0.60,0.60
550.00,1436.00,4.00,0.80,26.90,4.60,2.90,-2.60,0.10,-0.10,-0.70,0.70
600.00,1420.00,5.00,0.80,26.80,4.20,3.00,-2.70,0.10,-0.10,-0.80,0.80
650.00,1404.00,5.00,0.80,26.80,3.90,3.00,-2.70,0.10,-0.10,-0.90,0.80
700.00,1388.00,6.00,0.80,26.70,3.60,3.10,-2.80,0.10,-0.10,-0.90,0.90
750.00,1372.00,6.00,0.80,26.60,3.40,3.20,-2.80,0.10,-0.10,-1.00,1.00
800.00,1355.00,7.00,0.80,26.50,3.20,3.20,-2.90,0.10,-0.10,-1.10,1.10
850.00,1338.00,8.00,0.80,26.40,3.00,3.30,-2.90,0.10,-0.10,-1.10,1.10
900.00,1321.00,8.00,0.80,26.20,2.80,3.40,-3.00,0.10,-0.10,-1.20,1.20
950.00,1303.00,9.00,0.90,26.10,2.70,3.40,-3.10,0.10,-0.20,-1.30,1.20
1000.00,1285.00,10.00,0.90,26.00,2.60,3.50,-3.10,0.20,-0.10,-1.40,1.30
1050.00,1266.00,11.00,0.90,25.80,2.40,3.50,-3.20,0.10,-0.20,-1.40,1.40
1100.00,1247.00,12.00,0.90,25.70,2.30,3.60,-3.30,0.10,-0.20,-1.50,1.40
1150.00,1228.00,13.00,0.90,25.50,2.20,3.70,-3.30,0.20,-0.20,-1.60,1.50
1200.00,1207.00,14.00,1.00,25.30,2.10,3.70,-3.40,0.20,-0.20,-1.70,1.60
1250.00,1186.00,15.00,1.00,25.10,2.00,3.80,-3.40,0.20,-0.20,-1.70,1.70
1300.00,1163.00,17.00,1.00,24.80,1.90,3.80,-3.50,0.20,-0.20,-1.80,1.70
